instance,generated_sha256,source_instance,source_sha256,gamma_percent,global_seed,instance_seed_hex,target_direct_edges,actual_direct_edges,transitive_edges,max_chain_distance,meeting_incidences,realized_incidence_density_percent,eligible_precedence_posts,realized_eligible_post_density_percent,witness_sha256,construction
forumt-14crafc.prec50.dzn,4e652b6d09b450d6eff65feea16eb7443b2bcfc7c4ff8b5deed4bbb2ca937d44,forumt-14crafc.original.dzn,7497bc72fdee2653a57d45e99a94ff4c3be1d1fc77ab1a878bfbf156360b3ccc,50,20260724,ebc3af6d81055bd4,227,227,446,4,474,47.890295,414,54.830918,b63f96e5b3e432dd9c9f70bf5458756be84b7296f21dc980097a49fade98ab2e,nested_witness_consistent_precedence_dag
forumt-14crafc.prec60.dzn,8ba0d9d081f2ae6086770077c5569726e6e7d267f55fcfbf7e8365b9b49e93a4,forumt-14crafc.original.dzn,7497bc72fdee2653a57d45e99a94ff4c3be1d1fc77ab1a878bfbf156360b3ccc,60,20260724,ebc3af6d81055bd4,269,269,692,5,474,56.751055,414,64.975845,b63f96e5b3e432dd9c9f70bf5458756be84b7296f21dc980097a49fade98ab2e,nested_witness_consistent_precedence_dag
forumt-14crafd.prec50.dzn,add8275a6b77f9808f89018b2f6fcd14bc15ce05208450351d19dc63d43f93ff,forumt-14crafd.original.dzn,ff9a27125840b021c6bee9387045eaa32e6e322b6d22b2505e633a42638d78ec,50,20260724,7996823bb7f68392,230,230,456,5,472,48.728814,412,55.825243,7ef2ffad7fef507ef419f4896c65c03f01a50738f2a7913be1a0fb0286d65af0,nested_witness_consistent_precedence_dag
forumt-14crafd.prec60.dzn,1a53b56bbf701798c10f40e9627a6426353fba89a4ed001f4652fe6fd0e40aac,forumt-14crafd.original.dzn,ff9a27125840b021c6bee9387045eaa32e6e322b6d22b2505e633a42638d78ec,60,20260724,7996823bb7f68392,269,269,603,5,472,56.991525,412,65.291262,7ef2ffad7fef507ef419f4896c65c03f01a50738f2a7913be1a0fb0286d65af0,nested_witness_consistent_precedence_dag
forumt-14crafe.prec50.dzn,3373c164ab153be20cb466028b1d5573d3d8cf853879776cb0813406bfefe613,forumt-14crafe.original.dzn,05726bbe29a8e1413f418dfb4961af005189bf45fbf8f747afbfe9dfe596445e,50,20260724,4f37cc6f16c213bf,230,230,499,6,472,48.728814,412,55.825243,84a2f17f2c4d76818ece900e702bf3f2b262e54988a51ab5466f57d88c411f8f,nested_witness_consistent_precedence_dag
forumt-14crafe.prec60.dzn,dd0e821ef098e4dad1bc11193e44be8fcdbcc9d0584c4662ca5e9027c7976fc3,forumt-14crafe.original.dzn,05726bbe29a8e1413f418dfb4961af005189bf45fbf8f747afbfe9dfe596445e,60,20260724,4f37cc6f16c213bf,269,269,692,7,472,56.991525,412,65.291262,84a2f17f2c4d76818ece900e702bf3f2b262e54988a51ab5466f57d88c411f8f,nested_witness_consistent_precedence_dag
tic-12.prec50.dzn,0afff9827f9fa7880e6a80b2f1c6a4bb096527c114ee21fbfbe1e3358c3cc9d4,tic-12.original.dzn,f6a0647171ea3a01e077474a4c53b26d76eed6b7fe828661dbb02126b4225b46,50,20260724,957a7ae75d04fef6,122,122,237,4,250,48.800000,210,58.095238,30474df6df39034667e4d5a10c0ee525218b148e68f2ee93f1a89c8c9c67eb29,nested_witness_consistent_precedence_dag
tic-12.prec60.dzn,b430a486d03358c6d487378a3bc5a433fd7ba63487cf6ee6f78ce8d823c5c3d1,tic-12.original.dzn,f6a0647171ea3a01e077474a4c53b26d76eed6b7fe828661dbb02126b4225b46,60,20260724,957a7ae75d04fef6,125,125,245,4,250,50.000000,210,59.523810,30474df6df39034667e4d5a10c0ee525218b148e68f2ee93f1a89c8c9c67eb29,nested_witness_consistent_precedence_dag
tic-12crafc.prec50.dzn,d41d36bafa2031aa5f62345c1e7872624238a59c21660b918011817f7e5c1370,tic-12crafc.original.dzn,0d9483a3be1bdf60a6e9a9f06fe08d414291532197fb2237096c3f2f8f93b310,50,20260724,d051056d572eb996,122,122,213,4,250,48.800000,210,58.095238,282ab0f767a5684f28b039de9a441bba6702296f65ed97e6e46f21bce6b7aae2,nested_witness_consistent_precedence_dag
tic-12crafc.prec60.dzn,76efc5b1b2e13400b834567bbd0a72ed6dfc1f0bee963e48f68259d294f91751,tic-12crafc.original.dzn,0d9483a3be1bdf60a6e9a9f06fe08d414291532197fb2237096c3f2f8f93b310,60,20260724,d051056d572eb996,125,125,222,4,250,50.000000,210,59.523810,282ab0f767a5684f28b039de9a441bba6702296f65ed97e6e46f21bce6b7aae2,nested_witness_consistent_precedence_dag
tic-13.prec50.dzn,5054227cf5f933b2ce4675b51cb68bc30db434f7be121385332bb3df4a3b3055,tic-13.original.dzn,df56db93b199c1aebd8fbbd554669ea0faed2a21f1acf813a37ba2657bdfd9dd,50,20260724,426cba8e8731f641,171,171,315,4,360,47.500000,315,54.285714,19d214015f67947a1887a580f04fab6b256e253dc5564721e23aab4495f6321f,nested_witness_consistent_precedence_dag
tic-13.prec60.dzn,17f5419a53d1e5ab941cb9e32875fbb99cc29273d440e8817e9b1874e91f6e7b,tic-13.original.dzn,df56db93b199c1aebd8fbbd554669ea0faed2a21f1acf813a37ba2657bdfd9dd,60,20260724,426cba8e8731f641,203,203,440,5,360,56.388889,315,64.444444,19d214015f67947a1887a580f04fab6b256e253dc5564721e23aab4495f6321f,nested_witness_consistent_precedence_dag
tic-13crafb.prec50.dzn,5d3c24704f38f80f8cc4c55c76ebfe846727d8ac15b3bac8d9d5f4f1eeaf1e2c,tic-13crafb.original.dzn,f4f1eaecbca9d0e58627d90010202df9f5d6fdc964fc5c1b73d022c883e97411,50,20260724,d0c7a44befa63e49,178,178,372,5,368,48.369565,323,55.108359,9d42f7b5f800c9c4e4bac5f34f3d693f2561377856ce7a10be888aa0d7822f53,nested_witness_consistent_precedence_dag
tic-13crafb.prec60.dzn,1a9ef85708fcce92a23190560f09486fcb21db361f0d8d19c6f1a1258d168d98,tic-13crafb.original.dzn,f4f1eaecbca9d0e58627d90010202df9f5d6fdc964fc5c1b73d022c883e97411,60,20260724,d0c7a44befa63e49,210,210,530,6,368,57.065217,323,65.015480,9d42f7b5f800c9c4e4bac5f34f3d693f2561377856ce7a10be888aa0d7822f53,nested_witness_consistent_precedence_dag
tic-13crafc.prec50.dzn,6f6a8dfdce2bd9187c15b15811ed478ab65d93cd0e7df8ba456c9b19095fc314,tic-13crafc.original.dzn,2f2b9636e44fb3f601b84fde34a690ae44ea680e9a078ce7377d47a9a5bceb18,50,20260724,a1cbcfa9ea8abe3a,171,171,357,5,360,47.500000,315,54.285714,99203d38eda00fdc15efd4088c1c574c0d88977bc58e001c17dbab5599a674b7,nested_witness_consistent_precedence_dag
tic-13crafc.prec60.dzn,9c9547f84a1bc0c3a3d9de2259c6efc76c518915631196eea6d8bcb51e3747de,tic-13crafc.original.dzn,2f2b9636e44fb3f601b84fde34a690ae44ea680e9a078ce7377d47a9a5bceb18,60,20260724,a1cbcfa9ea8abe3a,203,203,541,6,360,56.388889,315,64.444444,99203d38eda00fdc15efd4088c1c574c0d88977bc58e001c17dbab5599a674b7,nested_witness_consistent_precedence_dag
tic-14crafa.prec50.dzn,4310504a6ade1a40a9a0589dd2fa5dd3da53e658079743f4e2cc909bc3708387,tic-14crafa.original.dzn,8dd8bee6c427462c1e5f4a609a1d8c94f8456ef063cea4acabee5173c98b2ba5,50,20260724,0cdb605914e8c9bf,227,227,456,5,474,47.890295,414,54.830918,79d2e137edd0c9ed4003051c45502231bc2c52b617745d0f579aacae1501a125,nested_witness_consistent_precedence_dag
tic-14crafa.prec60.dzn,595567234675951157bf7f086599c603c74965aacea318f6cf546ca68662e927,tic-14crafa.original.dzn,8dd8bee6c427462c1e5f4a609a1d8c94f8456ef063cea4acabee5173c98b2ba5,60,20260724,0cdb605914e8c9bf,269,269,601,5,474,56.751055,414,64.975845,79d2e137edd0c9ed4003051c45502231bc2c52b617745d0f579aacae1501a125,nested_witness_consistent_precedence_dag
tic-14crafc.prec50.dzn,34a14b054da88eafa69a7f228d8135335fe85c96cdbf42b41a5f7a65e14186b6,tic-14crafc.original.dzn,559ebde3d87c02f55f900fbf5134f0870f006928c6be3c17644a439c59d7bc53,50,20260724,c9abfa783ac47ec9,227,227,470,5,474,47.890295,414,54.830918,055fc3ad0bda54b67755ec1d6dceaeb90fb5dac4d45a063d6f402e45455599b6,nested_witness_consistent_precedence_dag
tic-14crafc.prec60.dzn,8ed5732ef9300856d99a49a286300f314cb1f2ea39b41400e4c3a8a957dc0516,tic-14crafc.original.dzn,559ebde3d87c02f55f900fbf5134f0870f006928c6be3c17644a439c59d7bc53,60,20260724,c9abfa783ac47ec9,269,269,650,5,474,56.751055,414,64.975845,055fc3ad0bda54b67755ec1d6dceaeb90fb5dac4d45a063d6f402e45455599b6,nested_witness_consistent_precedence_dag
tic-14crafd.prec50.dzn,5320f7e6cc33c04db5bb38cee40e27a79ce0083101b82dade83222c7a63d8ce7,tic-14crafd.original.dzn,bec7950834fca08aaba431edc12efe0a43517ca37d8912f8960d16dbd45b0a0c,50,20260724,4c57643c76b7b752,230,230,489,7,472,48.728814,412,55.825243,189c8a095e517c6dc1248143ad2f0495dc599fc2aaf5fd46eb00c06debcfbfe6,nested_witness_consistent_precedence_dag
tic-14crafd.prec60.dzn,e49610491885887d5d09074e62537ae2f7fce4c248eec003ff429bb8984810a2,tic-14crafd.original.dzn,bec7950834fca08aaba431edc12efe0a43517ca37d8912f8960d16dbd45b0a0c,60,20260724,4c57643c76b7b752,269,269,715,7,472,56.991525,412,65.291262,189c8a095e517c6dc1248143ad2f0495dc599fc2aaf5fd46eb00c06debcfbfe6,nested_witness_consistent_precedence_dag
ticf-13crafa.prec50.dzn,0cab10ffe8286ba07591e2f70229699a1a0ae0baec5045364f5e1fedb49ea158,ticf-13crafa.original.dzn,ba64c2a5e80693401a95d356067448117658987065c28804f6e94a1141c552eb,50,20260724,7b0513d9b0236838,132,132,246,5,308,42.857143,238,55.462185,e63a6d6c5677e7d8b6a49f755ec3bd365374a25b43c53bb8a889ed7240907b96,nested_witness_consistent_precedence_dag
ticf-13crafa.prec60.dzn,4bbfaccfb6ab025b25380362da6d58ff1e894b7f3e2c6e9ea2a3757a942ee734,ticf-13crafa.original.dzn,ba64c2a5e80693401a95d356067448117658987065c28804f6e94a1141c552eb,60,20260724,7b0513d9b0236838,154,154,312,5,308,50.000000,238,64.705882,e63a6d6c5677e7d8b6a49f755ec3bd365374a25b43c53bb8a889ed7240907b96,nested_witness_consistent_precedence_dag
ticf-13crafb.prec50.dzn,d048a986390185c6599e85fa70bd10248c7f1729ca78a3e26638f66f1a389bbd,ticf-13crafb.original.dzn,b70f8aa2e0c49890061b084e7006cc86b3ab0070df756437461afdf2b3ca19d7,50,20260724,65e8df735ca9d13c,173,173,378,5,390,44.358974,320,54.062500,8e267e7ce677bdb97ece9ad0499b3709d773fcb0729335a576793f4c9d798a3e,nested_witness_consistent_precedence_dag
ticf-13crafb.prec60.dzn,c0766b5123fad809ec391a2baf46517a6c723d8a9be91a54a0d84785c835025a,ticf-13crafb.original.dzn,b70f8aa2e0c49890061b084e7006cc86b3ab0070df756437461afdf2b3ca19d7,60,20260724,65e8df735ca9d13c,207,207,551,6,390,53.076923,320,64.687500,8e267e7ce677bdb97ece9ad0499b3709d773fcb0729335a576793f4c9d798a3e,nested_witness_consistent_precedence_dag
ticf-13crafc.prec50.dzn,f42c6ce34ddcf61c1df9b8da9c9cd80fee46d42e9d231568f6857f91fd5fac22,ticf-13crafc.original.dzn,a7570d62b5100cedc5e1f6b93d4c5b7006b13a395891388708d737212ed76fbe,50,20260724,0eb3c9ea8ccf3115,132,132,247,5,308,42.857143,238,55.462185,baab6b1801dba9088ad0dc6dc03f5e79c9c635ead41617ba49ef26483792b354,nested_witness_consistent_precedence_dag
ticf-13crafc.prec60.dzn,9942fbd5a423a79088d8d48595592a032ed31a7d0c32a4402496bd536358035a,ticf-13crafc.original.dzn,a7570d62b5100cedc5e1f6b93d4c5b7006b13a395891388708d737212ed76fbe,60,20260724,0eb3c9ea8ccf3115,154,154,365,6,308,50.000000,238,64.705882,baab6b1801dba9088ad0dc6dc03f5e79c9c635ead41617ba49ef26483792b354,nested_witness_consistent_precedence_dag
ticf-14crafa.prec50.dzn,b5413eb11cb07c7a9fea56be115c9205668a62559816fe74d43817637ff6383f,ticf-14crafa.original.dzn,b8151a9e9172903c37834821c179f39c0139495cf70d84c412bb108e4c33d65a,50,20260724,401d4af2c9f205a7,287,287,719,7,604,47.516556,528,54.356061,d69c931fc8f997641757bde6f2dca475735a3e565dbec6a8ee729ec6335cb1c3,nested_witness_consistent_precedence_dag
ticf-14crafa.prec60.dzn,ae55fd84c4f46d35b9152b9cb9405b2466aca9fba9255599068f02c84e2c710c,ticf-14crafa.original.dzn,b8151a9e9172903c37834821c179f39c0139495cf70d84c412bb108e4c33d65a,60,20260724,401d4af2c9f205a7,331,331,903,7,604,54.801325,528,62.689394,d69c931fc8f997641757bde6f2dca475735a3e565dbec6a8ee729ec6335cb1c3,nested_witness_consistent_precedence_dag
