content_id,sha256,canonical_instance,canonical_run_path,family,variant,source_alias_count,source_alias_paths,repository_alias_count,repository_alias_paths,n_business,n_meetings,n_tables,n_total_slots,n_morning_slots,n_forbidden_assignments,n_fixed_meetings,n_direct_precedence_edges,dataset_source_page,dataset_archive_url,dataset_archive_sha256
b2b-stress-aa057ef64d7b51b9,aa057ef64d7b51b902f8923d67b9c49d2e3ec91b18f2649ab32e1496779d07c2,tic-14crafc.prec40,tic-14crafc.prec40.dzn,precedence,prec40,1,tic-14crafc.prec40.dzn,1,tic-14crafc.prec40.dzn,60,237,25,10,10,0,0,176,,,
b2b-stress-17605dcfb2135983,17605dcfb2135983fb89ec857d2c4ab53b18746a7b4d9552f636e355ee7f0267,tic-14crafd.prec30,tic-14crafd.prec30.dzn,precedence,prec30,1,tic-14crafd.prec30.dzn,1,tic-14crafd.prec30.dzn,60,236,25,10,10,0,0,127,,,
b2b-stress-779f21abc8666821,779f21abc8666821eea5d8ac7488d0895460228b6f57af52b961b166ac189426,tic-14crafd.prec35,tic-14crafd.prec35.dzn,precedence,prec35,1,tic-14crafd.prec35.dzn,1,tic-14crafd.prec35.dzn,60,236,25,10,10,0,0,135,,,
b2b-stress-587d856e8f38aa87,587d856e8f38aa879ae34e98a16db702f28ca54a1a1a07f66161e63c98b82960,tic-14crafd.prec40,tic-14crafd.prec40.dzn,precedence,prec40,1,tic-14crafd.prec40.dzn,1,tic-14crafd.prec40.dzn,60,236,25,10,10,0,0,180,,,
b2b-stress-bf64666f4877c1a6,bf64666f4877c1a6a8da7a7b79eae3e1230873c5c2b3802b735faca39155a7c4,ticf-13crafa.prec30,ticf-13crafa.prec30.dzn,precedence,prec30,1,ticf-13crafa.prec30.dzn,1,ticf-13crafa.prec30.dzn,70,154,14,21,13,0,0,55,,,
b2b-stress-cbe18eccf12c4946,cbe18eccf12c4946f8a72c2c19fb22b2a5316db9a3d62ce4237930ab4a10daaf,ticf-13crafa.prec35,ticf-13crafa.prec35.dzn,precedence,prec35,1,ticf-13crafa.prec35.dzn,1,ticf-13crafa.prec35.dzn,70,154,14,21,13,0,0,82,,,
b2b-stress-0b432e24f29a032d,0b432e24f29a032dc2a26f115240a10e07e501d53e8246ca2716a2a79397f1a7,ticf-13crafa.prec40,ticf-13crafa.prec40.dzn,precedence,prec40,1,ticf-13crafa.prec40.dzn,1,ticf-13crafa.prec40.dzn,70,154,14,21,13,0,0,96,,,
b2b-stress-9b02c308e954dd30,9b02c308e954dd308a54812d06054ae94d345243a92dfed2c4e5f2b10a18314e,ticf-13crafb.prec30,ticf-13crafb.prec30.dzn,precedence,prec30,1,ticf-13crafb.prec30.dzn,1,ticf-13crafb.prec30.dzn,76,195,14,22,12,0,0,84,,,
b2b-stress-8ecdd7161bb9aa78,8ecdd7161bb9aa781346e7b2060b6f74264352681a1ade7866f8ab9af9a4bf9a,ticf-13crafb.prec35,ticf-13crafb.prec35.dzn,precedence,prec35,1,ticf-13crafb.prec35.dzn,1,ticf-13crafb.prec35.dzn,76,195,14,22,12,0,0,108,,,
b2b-stress-35ccdc2eda78c40d,35ccdc2eda78c40dbebcc84d16aa7d8ce2fd6aa1ca0e1392f25f45cdcb4ba57f,ticf-13crafb.prec40,ticf-13crafb.prec40.dzn,precedence,prec40,1,ticf-13crafb.prec40.dzn,1,ticf-13crafb.prec40.dzn,76,195,14,22,12,0,0,128,,,
b2b-stress-59871068d74f44fb,59871068d74f44fb39a1ad51c972993d14319311d2867a63c4942d80b4cd7eb9,ticf-13crafc.prec30,ticf-13crafc.prec30.dzn,precedence,prec30,1,ticf-13crafc.prec30.dzn,1,ticf-13crafc.prec30.dzn,70,154,12,21,13,0,0,55,,,
b2b-stress-ba3c20b0ca61d0f6,ba3c20b0ca61d0f6ebdfd53b20cc20b0a9a3a5b15a1e677767724c257e2a86f3,ticf-13crafc.prec35,ticf-13crafc.prec35.dzn,precedence,prec35,1,ticf-13crafc.prec35.dzn,1,ticf-13crafc.prec35.dzn,70,154,12,21,13,0,0,82,,,
b2b-stress-2da559af5f82ccd4,2da559af5f82ccd4f8863461397a98973ee0b3ddaece8a159a801f90161d4ef0,ticf-13crafc.prec40,ticf-13crafc.prec40.dzn,precedence,prec40,1,ticf-13crafc.prec40.dzn,1,ticf-13crafc.prec40.dzn,70,154,12,21,13,0,0,96,,,
b2b-stress-99404c9d21dfccf7,99404c9d21dfccf71a73962fae89f1a01166efccd15b73b4a25f5901c09e6c54,ticf-14crafa.prec30,ticf-14crafa.prec30.dzn,precedence,prec30,1,ticf-14crafa.prec30.dzn,1,ticf-14crafa.prec30.dzn,78,302,22,22,12,0,0,145,,,
b2b-stress-4f7d6baa5bb3845c,4f7d6baa5bb3845c57a17cc2a7034c23dea992aab3ab529125bfb0f654812b56,ticf-14crafa.prec35,ticf-14crafa.prec35.dzn,precedence,prec35,1,ticf-14crafa.prec35.dzn,1,ticf-14crafa.prec35.dzn,78,302,22,22,12,0,0,177,,,
b2b-stress-0c5e671a5790a3a4,0c5e671a5790a3a48c771c9c5a3fbe594d945e4474fd0e9b28681557280e5d0a,ticf-14crafa.prec40,ticf-14crafa.prec40.dzn,precedence,prec40,1,ticf-14crafa.prec40.dzn,1,ticf-14crafa.prec40.dzn,78,302,22,22,12,0,0,212,,,
