source_instance,source_sha256,n_meetings,n_total_slots,sat_backend,python_sat_version,canonicalization,witness_sha256,assignment_1_based
tic-13.original.dzn,df56db93b199c1aebd8fbbd554669ea0faed2a21f1acf813a37ba2657bdfd9dd,180,10,cadical153,1.8.dev26,lexicographically_smallest_slot_vector_by_meeting_id,19d214015f67947a1887a580f04fab6b256e253dc5564721e23aab4495f6321f,1 2 3 4 5 6 7 8 9 10 1 2 3 4 5 2 3 4 5 6 7 8 2 1 3 4 5 7 6 1 2 3 4 5 6 7 8 1 4 3 5 2 1 3 4 5 8 7 6 1 2 3 5 4 3 5 4 6 7 4 5 6 7 8 9 10 1 2 6 4 2 4 3 6 5 7 8 9 10 2 5 6 7 9 8 10 2 1 3 1 2 4 9 6 8 7 3 4 5 7 10 8 5 10 6 4 8 9 1 4 6 5 8 9 7 1 4 6 1 2 3 9 1 3 5 10 7 9 4 6 5 8 7 10 9 1 6 3 9 4 2 6 7 10 2 10 9 7 6 2 8 9 4 9 10 7 1 8 3 9 3 10 3 1 5 2 3 1 6 4 3 10 2 2 8 5 1 1 5 1
tic-13crafb.original.dzn,f4f1eaecbca9d0e58627d90010202df9f5d6fdc964fc5c1b73d022c883e97411,184,10,cadical153,1.8.dev26,lexicographically_smallest_slot_vector_by_meeting_id,9d42f7b5f800c9c4e4bac5f34f3d693f2561377856ce7a10be888aa0d7822f53,1 2 3 4 5 6 1 2 3 4 1 2 3 4 1 2 3 1 3 2 4 5 6 2 3 4 5 6 7 8 5 6 1 2 3 4 7 8 9 4 2 5 7 1 3 6 4 8 8 2 1 4 3 5 6 10 5 9 7 3 2 4 10 3 4 6 5 7 1 6 5 1 3 2 4 5 7 8 6 10 9 2 1 3 5 9 3 4 5 6 7 8 6 1 5 2 8 10 5 6 4 5 7 3 10 9 2 4 8 8 9 7 5 3 10 7 1 8 8 7 1 5 4 6 9 3 2 7 10 9 6 3 2 7 8 7 10 9 1 6 4 2 2 8 5 6 4 9 1 7 10 7 9 8 3 1 9 9 10 6 1 3 2 10 6 8 7 4 9 1 3 2 5 9 2 10 6 8 1 8 10 4 7 1
tic-13crafc.original.dzn,2f2b9636e44fb3f601b84fde34a690ae44ea680e9a078ce7377d47a9a5bceb18,180,10,cadical153,1.8.dev26,lexicographically_smallest_slot_vector_by_meeting_id,99203d38eda00fdc15efd4088c1c574c0d88977bc58e001c17dbab5599a674b7,1 2 3 4 5 6 7 8 9 10 1 2 3 4 5 2 3 4 5 6 7 8 2 1 3 4 5 7 6 1 2 3 4 5 6 7 8 1 4 3 5 2 1 3 4 5 8 7 6 1 2 3 5 4 3 5 4 6 7 4 5 6 7 8 9 10 1 2 6 4 2 4 3 6 5 7 8 9 10 2 5 6 7 9 8 10 2 1 3 1 2 4 9 6 8 7 3 4 5 7 10 8 5 10 6 4 8 9 1 4 6 5 8 9 7 7 1 6 7 8 1 2 8 3 7 10 9 1 5 6 9 8 7 10 1 5 6 10 2 4 6 10 8 7 9 6 8 7 2 5 9 8 10 10 9 7 1 8 10 9 3 9 2 5 3 1 3 1 6 4 3 10 2 3 1 9 2 2 3 4
tic-14crafa.original.dzn,8dd8bee6c427462c1e5f4a609a1d8c94f8456ef063cea4acabee5173c98b2ba5,237,10,cadical153,1.8.dev26,lexicographically_smallest_slot_vector_by_meeting_id,79d2e137edd0c9ed4003051c45502231bc2c52b617745d0f579aacae1501a125,1 2 3 4 5 6 7 8 1 1 1 2 3 4 5 6 7 8 1 1 2 3 4 1 2 3 4 5 2 3 1 2 3 4 2 1 4 5 3 1 4 1 2 3 5 6 7 3 5 1 2 4 6 4 2 1 5 7 3 6 8 3 1 6 2 4 5 8 9 10 1 4 5 6 7 8 2 1 3 4 5 6 7 8 9 10 1 7 2 9 3 10 2 4 3 6 5 7 6 2 4 5 7 8 10 2 3 10 5 3 2 9 8 9 3 1 6 7 10 8 5 8 1 2 3 6 1 9 7 5 7 8 2 1 9 10 8 7 6 4 5 8 10 9 4 3 10 9 3 4 8 7 2 5 9 10 6 1 3 4 1 7 5 4 10 3 8 6 9 2 7 10 9 10 5 9 2 7 1 3 6 4 1 6 10 8 2 4 1 8 6 3 7 8 6 10 5 4 9 7 7 6 7 10 8 5 2 4 3 9 7 5 10 6 4 6 6 7 1 9 8 4 2 10 6 3 5 7 2 6 8 9 10 2 4 9 3
tic-14crafc.original.dzn,559ebde3d87c02f55f900fbf5134f0870f006928c6be3c17644a439c59d7bc53,237,10,cadical153,1.8.dev26,lexicographically_smallest_slot_vector_by_meeting_id,055fc3ad0bda54b67755ec1d6dceaeb90fb5dac4d45a063d6f402e45455599b6,1 2 3 4 5 6 7 8 1 1 1 2 3 4 5 6 7 8 1 1 2 3 4 1 2 3 4 5 2 3 1 2 3 4 2 1 4 5 3 1 4 1 2 3 5 6 7 3 5 1 2 4 6 4 2 1 5 7 3 6 8 3 1 6 2 4 5 8 9 10 1 4 5 6 7 8 2 1 3 4 5 6 7 8 9 10 1 7 2 9 3 10 2 4 3 6 5 7 6 2 4 5 7 8 10 2 3 10 5 3 2 9 8 9 3 1 6 7 10 8 5 8 1 2 3 6 1 9 7 5 7 8 2 1 9 10 8 7 6 4 5 8 10 9 4 3 10 9 3 4 8 7 2 5 9 10 6 1 3 4 1 7 5 4 10 3 8 6 9 2 7 10 9 10 5 9 2 7 1 3 6 4 8 6 10 9 5 4 7 8 6 3 7 8 6 10 5 4 9 7 7 6 7 10 8 5 2 4 3 9 7 5 10 6 4 6 6 7 9 8 9 4 5 10 6 1 2 7 2 6 9 8 10 5 8 10 9
tic-14crafd.original.dzn,bec7950834fca08aaba431edc12efe0a43517ca37d8912f8960d16dbd45b0a0c,236,10,cadical153,1.8.dev26,lexicographically_smallest_slot_vector_by_meeting_id,189c8a095e517c6dc1248143ad2f0495dc599fc2aaf5fd46eb00c06debcfbfe6,1 2 3 4 5 6 7 8 1 3 2 1 1 2 3 4 5 6 7 8 9 1 2 2 3 4 5 1 2 3 5 2 1 1 3 2 4 3 1 2 2 4 1 5 3 6 7 1 2 3 4 6 5 7 8 2 4 1 3 5 6 8 3 4 6 1 9 2 5 7 8 10 3 1 5 6 8 4 5 10 1 2 9 3 6 7 8 9 1 5 2 4 6 3 7 4 7 3 8 2 8 1 2 4 6 5 10 1 5 4 6 7 8 6 9 10 3 2 1 4 5 6 4 7 6 5 1 9 8 10 10 5 9 6 5 3 2 1 10 7 8 9 3 6 9 4 10 7 8 7 9 7 2 8 4 3 10 5 1 6 3 4 10 7 8 1 9 8 9 3 5 7 6 9 6 4 2 1 10 5 4 7 7 8 9 10 8 4 6 9 5 7 10 4 10 9 7 5 2 8 8 4 10 2 8 6 5 9 7 3 2 3 6 10 7 9 5 2 7 10 3 8 6 1 4 7 4 8 6 9 10 5 3 10 6 9
ticf-13crafa.original.dzn,ba64c2a5e80693401a95d356067448117658987065c28804f6e94a1141c552eb,154,21,cadical153,1.8.dev26,lexicographically_smallest_slot_vector_by_meeting_id,e63a6d6c5677e7d8b6a49f755ec3bd365374a25b43c53bb8a889ed7240907b96,1 2 3 4 5 6 7 8 9 14 1 2 3 4 5 6 7 8 2 1 3 4 5 6 1 2 1 2 3 4 5 6 7 3 1 2 4 5 6 7 1 2 14 15 16 2 3 1 1 2 3 4 5 6 7 8 9 2 1 3 4 3 1 2 3 4 5 1 2 4 3 5 6 7 8 9 10 1 2 3 4 5 6 7 9 8 10 11 3 4 5 1 2 6 7 8 9 10 3 5 4 6 7 8 4 5 6 7 8 10 11 9 12 7 4 5 6 8 9 10 11 5 9 6 7 10 8 11 12 13 14 15 16 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 7 8 9 10 11 12
ticf-13crafb.original.dzn,b70f8aa2e0c49890061b084e7006cc86b3ab0070df756437461afdf2b3ca19d7,195,22,cadical153,1.8.dev26,lexicographically_smallest_slot_vector_by_meeting_id,8e267e7ce677bdb97ece9ad0499b3709d773fcb0729335a576793f4c9d798a3e,1 1 2 3 4 2 3 1 2 3 4 1 2 3 13 14 4 15 13 14 15 2 16 4 3 5 1 5 1 4 1 2 1 1 2 5 6 1 7 8 9 13 14 15 13 14 15 5 6 3 17 10 16 18 4 16 2 6 1 2 13 1 2 14 15 16 3 4 5 1 2 3 4 5 6 7 13 8 9 10 11 2 12 6 14 13 15 2 7 3 4 3 4 17 13 14 15 16 18 19 20 21 22 3 4 5 6 5 6 3 7 8 9 4 5 6 3 7 8 9 10 11 12 13 6 7 4 5 7 5 6 11 12 8 13 9 10 14 15 16 17 18 19 20 21 7 8 9 10 8 9 10 7 8 5 6 10 7 17 11 15 9 12 1 2 5 3 4 7 8 6 9 11 10 12 5 6 7 8 9 11 12 17 16 18 13 14 15 6 7 8 9 10 11 12
ticf-13crafc.original.dzn,a7570d62b5100cedc5e1f6b93d4c5b7006b13a395891388708d737212ed76fbe,154,21,cadical153,1.8.dev26,lexicographically_smallest_slot_vector_by_meeting_id,baab6b1801dba9088ad0dc6dc03f5e79c9c635ead41617ba49ef26483792b354,1 2 3 4 5 6 7 8 9 14 1 2 3 4 5 6 7 8 2 1 3 4 5 6 1 2 1 2 3 4 5 6 7 3 1 2 4 5 6 7 1 2 14 15 16 2 3 1 1 2 3 4 5 6 7 8 9 2 1 3 4 3 1 2 3 4 5 1 2 4 3 5 6 7 8 9 10 3 4 5 6 7 8 9 10 11 12 13 4 5 6 7 8 9 10 11 12 13 4 5 6 7 8 9 5 6 7 9 8 10 11 12 13 7 6 8 9 11 10 12 13 8 10 9 11 12 13 14 15 16 17 18 19 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 8 9 10 11 12 13
ticf-14crafa.original.dzn,b8151a9e9172903c37834821c179f39c0139495cf70d84c412bb108e4c33d65a,302,22,cadical153,1.8.dev26,lexicographically_smallest_slot_vector_by_meeting_id,d69c931fc8f997641757bde6f2dca475735a3e565dbec6a8ee729ec6335cb1c3,1 2 3 13 4 1 2 14 13 15 13 1 2 3 4 5 6 7 8 9 1 2 3 1 2 4 3 1 3 2 4 2 1 3 4 5 6 7 8 9 10 11 12 2 3 13 4 5 6 7 9 1 2 3 4 5 6 2 2 1 3 4 5 3 6 14 1 3 10 7 8 1 4 5 6 5 1 2 6 15 4 7 8 9 11 10 13 8 2 3 4 5 6 7 4 5 14 2 6 5 3 5 6 11 3 4 2 7 6 7 9 2 1 3 1 1 3 10 5 2 12 7 8 2 7 1 9 4 3 5 8 5 12 8 4 11 10 13 2 7 9 7 1 11 6 5 1 9 8 3 9 3 1 10 4 14 6 4 5 12 15 10 5 11 4 6 12 13 16 15 14 17 18 19 4 6 10 11 12 13 14 15 16 17 18 5 6 7 8 20 19 9 10 11 8 6 7 9 6 8 7 9 20 11 12 10 9 7 8 10 17 11 14 12 13 15 16 18 16 5 13 4 1 3 7 8 2 14 6 15 9 10 11 12 17 19 20 21 22 11 7 8 13 9 14 7 8 13 10 11 12 15 8 9 10 11 13 12 10 7 4 5 1 6 11 3 8 9 12 2 8 16 13 14 9 11 12 6 5 9 7 10 8 9 11 17 8 9 10 11 3 2 4 5 6 7 8 12 10 9 1 11
