content_id,base_lineage_id,sha256,canonical_instance,canonical_run_path,family,variant,source_alias_count,source_alias_paths,repository_alias_count,repository_alias_paths,n_business,n_meetings,n_tables,n_total_slots,n_morning_slots,n_forbidden_assignments,n_fixed_meetings,n_direct_precedence_edges,dataset_source_page,dataset_archive_url,dataset_archive_sha256
b2b-stress-8ed5732ef9300856,b2b-lineage-tic-14crafc,8ed5732ef9300856d99a49a286300f314cb1f2ea39b41400e4c3a8a957dc0516,tic-14crafc.prec60,tic-14crafc.prec60.dzn,precedence,prec60,1,tic-14crafc.prec60.dzn,1,tic-14crafc.prec60.dzn,60,237,25,10,10,0,0,269,,,
b2b-stress-5320f7e6cc33c04d,b2b-lineage-tic-14crafd,5320f7e6cc33c04db5bb38cee40e27a79ce0083101b82dade83222c7a63d8ce7,tic-14crafd.prec50,tic-14crafd.prec50.dzn,precedence,prec50,1,tic-14crafd.prec50.dzn,1,tic-14crafd.prec50.dzn,60,236,25,10,10,0,0,230,,,
b2b-stress-e49610491885887d,b2b-lineage-tic-14crafd,e49610491885887d5d09074e62537ae2f7fce4c248eec003ff429bb8984810a2,tic-14crafd.prec60,tic-14crafd.prec60.dzn,precedence,prec60,1,tic-14crafd.prec60.dzn,1,tic-14crafd.prec60.dzn,60,236,25,10,10,0,0,269,,,
b2b-stress-0cab10ffe8286ba0,b2b-lineage-ticf-13crafa,0cab10ffe8286ba07591e2f70229699a1a0ae0baec5045364f5e1fedb49ea158,ticf-13crafa.prec50,ticf-13crafa.prec50.dzn,precedence,prec50,1,ticf-13crafa.prec50.dzn,1,ticf-13crafa.prec50.dzn,70,154,14,21,13,0,0,132,,,
b2b-stress-4bbfaccfb6ab025b,b2b-lineage-ticf-13crafa,4bbfaccfb6ab025b25380362da6d58ff1e894b7f3e2c6e9ea2a3757a942ee734,ticf-13crafa.prec60,ticf-13crafa.prec60.dzn,precedence,prec60,1,ticf-13crafa.prec60.dzn,1,ticf-13crafa.prec60.dzn,70,154,14,21,13,0,0,154,,,
b2b-stress-d048a986390185c6,b2b-lineage-ticf-13crafb,d048a986390185c6599e85fa70bd10248c7f1729ca78a3e26638f66f1a389bbd,ticf-13crafb.prec50,ticf-13crafb.prec50.dzn,precedence,prec50,1,ticf-13crafb.prec50.dzn,1,ticf-13crafb.prec50.dzn,76,195,14,22,12,0,0,173,,,
b2b-stress-c0766b5123fad809,b2b-lineage-ticf-13crafb,c0766b5123fad809ec391a2baf46517a6c723d8a9be91a54a0d84785c835025a,ticf-13crafb.prec60,ticf-13crafb.prec60.dzn,precedence,prec60,1,ticf-13crafb.prec60.dzn,1,ticf-13crafb.prec60.dzn,76,195,14,22,12,0,0,207,,,
b2b-stress-f42c6ce34ddcf61c,b2b-lineage-ticf-13crafc,f42c6ce34ddcf61c1df9b8da9c9cd80fee46d42e9d231568f6857f91fd5fac22,ticf-13crafc.prec50,ticf-13crafc.prec50.dzn,precedence,prec50,1,ticf-13crafc.prec50.dzn,1,ticf-13crafc.prec50.dzn,70,154,12,21,13,0,0,132,,,
b2b-stress-9942fbd5a423a790,b2b-lineage-ticf-13crafc,9942fbd5a423a79088d8d48595592a032ed31a7d0c32a4402496bd536358035a,ticf-13crafc.prec60,ticf-13crafc.prec60.dzn,precedence,prec60,1,ticf-13crafc.prec60.dzn,1,ticf-13crafc.prec60.dzn,70,154,12,21,13,0,0,154,,,
b2b-stress-b5413eb11cb07c7a,b2b-lineage-ticf-14crafa,b5413eb11cb07c7a9fea56be115c9205668a62559816fe74d43817637ff6383f,ticf-14crafa.prec50,ticf-14crafa.prec50.dzn,precedence,prec50,1,ticf-14crafa.prec50.dzn,1,ticf-14crafa.prec50.dzn,78,302,22,22,12,0,0,287,,,
b2b-stress-ae55fd84c4f46d35,b2b-lineage-ticf-14crafa,ae55fd84c4f46d35b9152b9cb9405b2466aca9fba9255599068f02c84e2c710c,ticf-14crafa.prec60,ticf-14crafa.prec60.dzn,precedence,prec60,1,ticf-14crafa.prec60.dzn,1,ticf-14crafa.prec60.dzn,78,302,22,22,12,0,0,331,,,
